series_id,game_id,game_number,year,date,split,playoffs,patch,blue_team,red_team,first_pick_side,order,phase,side,action,champion,fearless_unavailable_before_game,fearless_unavailable_count,winner_side,winner_team,acting_side_won,blue_games_before,blue_wins_before,blue_win_rate_before,red_games_before,red_wins_before,red_win_rate_before,blue_season_games_before,blue_season_wins_before,blue_season_win_rate_before,red_season_games_before,red_season_wins_before,red_season_win_rate_before,blue_last5_games,blue_last5_win_rate,red_last5_games,red_last5_win_rate,blue_last10_games,blue_last10_win_rate,red_last10_games,red_last10_win_rate,blue_side_games_before,blue_side_win_rate_before,red_side_games_before,red_side_win_rate_before,blue_patch_games_before,blue_patch_win_rate_before,red_patch_games_before,red_patch_win_rate_before,blue_h2h_games_before,blue_h2h_win_rate_before,red_h2h_games_before,red_h2h_win_rate_before
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,11,PICK_PHASE_1,BLUE,PICK,Yone,[],0,BLUE,HANJIN BRION,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,12,PICK_PHASE_1,RED,PICK,Sejuani,[],0,BLUE,HANJIN BRION,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,13,BAN_PHASE_2,RED,BAN,Ziggs,[],0,BLUE,HANJIN BRION,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,14,BAN_PHASE_2,BLUE,BAN,Ambessa,[],0,BLUE,HANJIN BRION,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,15,BAN_PHASE_2,RED,BAN,Kai'Sa,[],0,BLUE,HANJIN BRION,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,16,BAN_PHASE_2,BLUE,BAN,Jax,[],0,BLUE,HANJIN BRION,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,17,PICK_PHASE_2,RED,PICK,Leona,[],0,BLUE,HANJIN BRION,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,18,PICK_PHASE_2,BLUE,PICK,Miss Fortune,[],0,BLUE,HANJIN BRION,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,19,PICK_PHASE_2,BLUE,PICK,Rell,[],0,BLUE,HANJIN BRION,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,20,PICK_PHASE_2,RED,PICK,Jayce,[],0,BLUE,HANJIN BRION,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,1,BAN_PHASE_1,BLUE,BAN,Azir,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,2,BAN_PHASE_1,RED,BAN,Nocturne,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,3,BAN_PHASE_1,BLUE,BAN,Ashe,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,4,BAN_PHASE_1,RED,BAN,Vi,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,5,BAN_PHASE_1,BLUE,BAN,Varus,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,6,BAN_PHASE_1,RED,BAN,Kalista,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,7,PICK_PHASE_1,BLUE,PICK,Aurora,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,8,PICK_PHASE_1,RED,PICK,Rumble,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,9,PICK_PHASE_1,RED,PICK,Viego,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,10,PICK_PHASE_1,BLUE,PICK,Wukong,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,11,PICK_PHASE_1,BLUE,PICK,Kai'Sa,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,12,PICK_PHASE_1,RED,PICK,Taliyah,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,13,BAN_PHASE_2,RED,BAN,Ornn,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,14,BAN_PHASE_2,BLUE,BAN,Nautilus,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,15,BAN_PHASE_2,RED,BAN,Ambessa,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,16,BAN_PHASE_2,BLUE,BAN,Caitlyn,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,17,PICK_PHASE_2,RED,PICK,Rakan,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,18,PICK_PHASE_2,BLUE,PICK,Galio,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,19,PICK_PHASE_2,BLUE,PICK,Poppy,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183538,2,2025,2025-01-15 09:03:08+00:00,Cup,0,15.01,Kiwoom DRX,HANJIN BRION,BLUE,20,PICK_PHASE_2,RED,PICK,Xayah,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce""]",10,BLUE,Kiwoom DRX,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183544,3,2025,2025-01-15 09:54:37+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,1,BAN_PHASE_1,BLUE,BAN,Nocturne,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce"", ""Aurora"", ""Rumble"", ""Wukong"", ""Viego"", ""Kai'Sa"", ""Taliyah"", ""Galio"", ""Rakan"", ""Poppy"", ""Xayah""]",20,RED,Kiwoom DRX,0,2.0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,2.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,0.0,2.0,0.5,2.0,0.5,2.0,0.5,2.0,0.5
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183544,3,2025,2025-01-15 09:54:37+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,2,BAN_PHASE_1,RED,BAN,Vi,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce"", ""Aurora"", ""Rumble"", ""Wukong"", ""Viego"", ""Kai'Sa"", ""Taliyah"", ""Galio"", ""Rakan"", ""Poppy"", ""Xayah""]",20,RED,Kiwoom DRX,1,2.0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,2.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,0.0,2.0,0.5,2.0,0.5,2.0,0.5,2.0,0.5
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183544,3,2025,2025-01-15 09:54:37+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,3,BAN_PHASE_1,BLUE,BAN,Lee Sin,"[""Skarner"", ""Viktor"", ""K'Sante"", ""Corki"", ""Yone"", ""Sejuani"", ""Miss Fortune"", ""Leona"", ""Rell"", ""Jayce"", ""Aurora"", ""Rumble"", ""Wukong"", ""Viego"", ""Kai'Sa"", ""Taliyah"", ""Galio"", ""Rakan"", ""Poppy"", ""Xayah""]",20,RED,Kiwoom DRX,0,2.0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,2.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,0.0,2.0,0.5,2.0,0.5,2.0,0.5,2.0,0.5
